OBJECTID,PRIMKEY,COUNTRY,FIPSCODE,COWCODE,CONTCODE,SITENUM,NAME,LAT,LONG,RES,RESINFO,LOCSOURCE,FIELDINFO,DISC,DISCPRES,PROD,PRODPRES,OTHERINFO,SOURCEINFO,VERSION,Shape__Area,Shape__Length,geometry_type,geometry
1,OF381PET,Vietnam,VM,816,3,381,South China Continental Shelf,15.82,109.39,PET,gas,"Steinshouer et al., 1999",3,-9999,3,-9999,3,no conformation of Petroleum Economist,"Petroleum Economist, 2003",1.2,3052644972.060547,195891.02389782525,,"{""rings"": [[[109.39321992386, 16.0928404732093], [109.410826816704, 16.0921957753148], [109.428356348966, 16.0904887937229], [109.445739082193, 16.0877263345028], [109.462906173281, 16.0839193846719], [109.479789646975, 16.0790830636325], [109.496322672853, 16.0732365647157], [109.512439826137, 16.0664030787391], [109.528077353887, 16.0586096968801], [109.543173426812, 16.0498873063541], [109.55766838299, 16.0402704618124], [109.571504969779, 16.0297972495435], [109.584628563258, 16.0185091345889], [109.596987393054, 16.0064507952681], [109.608532737496, 15.993669942414], [109.619219119667, 15.9802171341135], [109.629004484569, 15.9661455670643], [109.637850363703, 15.9515108724288], [109.645722022553, 15.9363708892052], [109.652588596387, 15.9207854375979], [109.658423207165, 15.9048160824963], [109.663203067867, 15.8885258852615], [109.666909568822, 15.8719791600103], [109.669528343358, 15.8552412155097], [109.671049325366, 15.8383781006689], [109.671466780767, 15.8214563383394], [109.670779328203, 15.804542671707], [109.668989939934, 15.7877037935953], [109.666105924749, 15.771006090159], [109.662138897392, 15.7545153755841], [109.657104726402, 15.7382966375798], [109.651023472056, 15.7224137792725], [109.643919300036, 15.7069293709937], [109.635820387001, 15.6919044029659], [109.626758805475, 15.6773980478816], [109.616770396137, 15.6634674306774], [109.605894624837, 15.6501674028034], [109.594174428807, 15.6375503263865], [109.581656041293, 15.6256658745805], [109.56838881709, 15.6145608310176], [109.55442503109, 15.6042789135411], [109.539819679535, 15.594860597039], [109.524630260578, 15.5863429596599], [109.508916553057, 15.578759537123], [109.492740378166, 15.5721401887188], [109.47616536474, 15.5665109839948], [109.459256696539, 15.5618940984339], [109.442080860443, 15.5583077280192], [109.424705389242, 15.5557660163886], [109.40719859454, 15.5542789990766], [109.389629305948, 15.5538525666427], [109.372066600393, 15.5544884376913], [109.354579535018, 15.5561841516773], [109.337236879179, 15.5589330814966], [109.320106842857, 15.5627244550696], [109.303256816749, 15.5675433958111], [109.286753105172, 15.5733709864819], [109.270660667955, 15.5801843339399], [109.255042870432, 15.5879566635692], [109.239961230726, 15.5966574218026], [109.225475182334, 15.6062523939329], [109.2116418385, 15.6167038399103], [109.198515770087, 15.6279706364357], [109.186148788836, 15.6400084424357], [109.174589744121, 15.6527698690343], [109.163884328699, 15.6662046684108], [109.154074897039, 15.680259924456], [109.145200298955, 15.694880264113], [109.137295720421, 15.7100080750127], [109.130392545979, 15.7255837285063], [109.124518231032, 15.7415458152872], [109.119696187629, 15.7578313873087], [109.11594569274, 15.7743762041985], [109.113281804612, 15.7911149859679], [109.111715302519, 15.8079816729159], [109.1112526364, 15.824909683735], [109.111895902574, 15.8418321772132], [109.113642824857, 15.8586823220316], [109.116486764453, 15.8753935530701], [109.120416737942, 15.8918998439027], [109.125417461347, 15.9081359613056], [109.131469402291, 15.9240377278589], [109.138548856445, 15.9395422746563], [109.146628037454, 15.9545882949139], [109.155675184862, 15.9691162813913], [109.165654684616, 15.9830687701077], [109.176527211162, 15.9963905651725], [109.188249879428, 16.0090289600185], [109.200776416598, 16.0209339460448], [109.214057341073, 16.0320584149639], [109.228040159426, 16.0423583431631], [109.24266957594, 16.0517929706691], [109.257887713847, 16.0603249630267], [109.273634341951, 16.0679205587868], [109.289847117451, 16.0745497053047], [109.306461836844, 16.0801861801481], [109.323412687745, 16.0848076909223], [109.340632519575, 16.0883959705976], [109.358053106166, 16.0909368440601], [109.375605423651, 16.092420289265], [109.39321992386, 16.0928404732093]]]}"
2,OF382PET,Vietnam,VM,816,3,382,Mekong/Cuulong/Vung Tau Basin,9.93,108.08,PET,oil and gas,"Steinshouer et al., 1999",1,1981,1,1986,1,Bach Ho (White Tiger) field discovered in 1981 and came on stream in 1986,"CCOP, 2002k - Anonymous, 2001 - Petroleum Economist, 2003",1.2,14635339752.734375,563176.9187524203,,"{""rings"": [[[107.328154276399, 9.75796829769882], [107.334678203137, 9.76631119050909], [107.334695296551, 9.76638764367486], [107.339442056806, 9.78267697306392], [107.345217811453, 9.79864040073397], [107.351999910168, 9.81421488241096], [107.359761733018, 9.82933890626555], [107.368472751616, 9.84395268356951], [107.370690059799, 9.84718887596591], [107.371119749577, 9.86207327995793], [107.372687054764, 9.87895072729429], [107.37532710816, 9.89569792671802], [107.379029720445, 9.91224877266279], [107.38378035408, 9.92853794377111], [107.389560418279, 9.94450105757778], [107.396347320273, 9.96007513186191], [107.404114305231, 9.9751986161233], [107.412830951787, 9.98981178278756], [107.422462794323, 10.00385685491], [107.432972059513, 10.0172783380249], [107.444317215767, 10.0300232108026], [107.456453537101, 10.0420410581484], [107.469333201166, 10.0532843949589], [107.48290531263, 10.0637087038936], [107.497116266503, 10.0732727879089], [107.511909999047, 10.0819388404052], [107.527227941916, 10.0896725720316], [107.54300963099, 10.096443345584], [107.55919265062, 10.1022244008355], [107.575713017642, 10.1069928239597], [107.592505349542, 10.1107298065354], [107.609503259268, 10.113420518742], [107.626639465839, 10.1150543018146], [107.643846225123, 10.1156247004196], [107.661055376604, 10.1151294338763], [107.678198909052, 10.1135704573108], [107.695208965921, 10.1109539652533], [107.712018189788, 10.1072902558407], [107.72856017741, 10.1025938684123], [107.744769459943, 10.0968833496869], [107.760581927414, 10.0901812870368], [107.775935004997, 10.0825142131604], [107.790768061297, 10.0739124064324], [107.805022451525, 10.0644099610509], [107.818641873624, 10.0540443904363], [107.831572459102, 10.0428567270563], [107.8437632155, 10.0308911644957], [107.855166024592, 10.0181950898316], [107.863615764056, 10.0075013242268], [107.867663655753, 10.0098669998622], [107.882987468497, 10.0175843890084], [107.898773769294, 10.0243382723934], [107.914960197355, 10.030101955441], [107.931482705662, 10.0348526241493], [107.948275992643, 10.0385715042715], [107.965273559727, 10.0412438622145], [107.98240825094, 10.0428591048638], [107.999612201642, 10.04341087761], [108.014984510327, 10.0429517296387], [108.015299708315, 10.0449226163857], [108.019036847373, 10.0614676742938], [108.023822148973, 10.0777489835288], [108.02963685146, 10.0937022569536], [108.0364581813, 10.1092644071267], [108.04425928204, 10.1243740427279], [108.05300951108, 10.138971428089], [108.062674385714, 10.1529988824925], [108.073215853829, 10.1664009375532], [108.084592348758, 10.1791246636723], [108.096759028506, 10.1911197078083], [108.109667818015, 10.2023387116623], [108.123267787778, 10.2127372496244], [108.137505199705, 10.2222742523549], [108.152323811095, 10.2309119753074], [108.167665085975, 10.2386162559355], [108.183468313812, 10.2453565847386], [108.199671073561, 10.2511063615694], [108.200377017086, 10.2513085435545], [108.206104943988, 10.2585816352343], [108.212879643081, 10.2661507828324], [108.212136879513, 10.2707562757815], [108.210507823278, 10.2876295997263], [108.209958695437, 10.3045702774963], [108.210491779372, 10.32151141482], [108.21210520719, 10.3383862118542], [108.214610363178, 10.3539932660764], [108.21312633881, 10.3693654848293], [108.212577260432, 10.3863061518075], [108.213110706794, 10.4032472801379], [108.214724780324, 10.4201220340047], [108.21741323883, 10.436863770047], [108.221165685248, 10.4534063979869], [108.225967419261, 10.4696846054602], [108.231799627051, 10.4856340567663], [108.23863950361, 10.5011918146505], [108.246460143021, 10.5162963735788], [108.25523073541, 10.5308880185672], [108.264916794475, 10.5449091498375], [108.275480181765, 10.558304320588], [108.286879164242, 10.5710205562537], [108.299068889118, 10.5830076198059], [108.312001125751, 10.5942181115767], [108.325624887079, 10.604607658117], [108.339886320797, 10.6141352143687], [108.354729107762, 10.6227630897449], [108.370094538432, 10.6304571477792], [108.38592192116, 10.6371870003798], [108.402148574097, 10.6429259448765], [108.418710418751, 10.6476513507293], [108.435541860369, 10.6513445039457], [108.452576329334, 10.6539908274148], [108.469746387286, 10.6555797909746], [108.478386052774, 10.6558430971812], [108.486440448468, 10.6612174061584], [108.501289337333, 10.6698381921789], [108.516660566832, 10.677524938725], [108.532493249264, 10.6842472244299], [108.548724816097, 10.6899784761258], [108.565291059335, 10.6946960641721], [108.582126469661, 10.6983812709789], [108.599164402815, 10.7010195221333], [108.616337485187, 10.7026004475526], [108.633577710043, 10.7031177537814], [108.650816883592, 10.7025694191434], [108.667986777868, 10.7009576289914], [108.685019514739, 10.6982887739078], [108.701847641456, 10.6945734191281], [108.718404583904, 10.6898262712655], [108.734624922702, 10.6840661108624], [108.750444420174, 10.6773157636117], [108.765800644484, 10.6696019339821], [108.780632769986, 10.6609551413667], [108.794882295781, 10.6514095887815], [108.808492908121, 10.6410030315647], [108.821410813159, 10.6297766478741], [108.833585081386, 10.617774812058], [108.844967644042, 10.6050449894348], [108.855513633048, 10.591637486281], [108.86518148174, 10.5776052753632], [108.87393312991, 10.5630038727306], [108.881734097551, 10.5478909114365], [108.88855375735, 10.532326107364], [108.894365323001, 10.5163709696446], [108.899145992194, 10.5000884679085], [108.902877040143, 10.4835429414536], [108.905543895135, 10.4667996702686], [108.907136270722, 10.4499247806042], [108.907647998456, 10.4329848186945], [108.907077251814, 10.4160466869051], [108.905426417595, 10.3991771877771], [108.902702213736, 10.3824428594505], [108.898915573295, 10.3659097166601], [108.89408152844, 10.3496429899321], [108.888219326461, 10.3337067658546], [108.881352191451, 10.3181638926496], [108.873507424128, 10.3030756824968], [108.864715962971, 10.2885015581004], [108.855012591958, 10.2744989843407], [108.844435733722, 10.2611231445176], [108.833027052956, 10.2484267119233], [108.820831672244, 10.2364597850911], [108.807897669342, 10.2252694309395], [108.794276044804, 10.214899816973], [108.780020517833, 10.2053917220504], [108.77631466529, 10.2032409942765], [108.77619379191, 10.1995823714294], [108.774551738672, 10.1827114324867], [108.771836939923, 10.1659752191811], [108.76806021091, 10.1494397390527], [108.763236628767, 10.1331701821582], [108.757385405712, 10.1172307582929], [108.750529697488, 10.1016842743098], [108.74269670409, 10.0865920351943], [108.733917431444, 10.0720135553813], [108.724226533128, 10.0580062601808], [108.713662365226, 10.044625324799], [108.702266665274, 10.031923548433], [108.690084368799, 10.0199509576706], [108.680360437484, 10.0115252193135], [108.677875500054, 10.0031284184418], [108.672031011122, 9.98718706643001], [108.665182281637, 9.97163839619509], [108.657356527782, 9.95654370822557], [108.648584658355, 9.9419625439363], [108.638901410572, 9.92795235831471], [108.628345003819, 9.91456832296979], [108.616957187324, 9.90186326587705], [108.604782848949, 9.88988714437625], [108.591870088034, 9.87868724571983], [108.578269781026, 9.86830763219155], [108.564035613853, 9.8587892058572], [108.549223656547, 9.85016948013742], [108.533892271511, 9.84248235497676], [108.518101891389, 9.83575817889687], [108.501914684515, 9.83002339286531], [108.501208059305, 9.82982138894602], [108.495482845657, 9.82255369859439], [108.484103211194, 9.80984387779278], [108.471936944235, 9.79786272728307], [108.45903212883, 9.78665753161982], [108.445439642326, 9.7762723827643], [108.431213096008, 9.76674821515803], [108.416408518538, 9.75812250624868], [108.401084317287, 9.75042925310758], [108.38530082867, 9.74369880335712], [108.369120258793, 9.73795759526683], [108.352606344407, 9.73322826027606], [108.335824054337, 9.72952942154563], [108.318839554402, 9.72687566787785], [108.301719710097, 9.72527741701925], [108.284531860857, 9.72474098670721], [108.269174043847, 9.72521233398207], [108.268858400695, 9.72324172962214], [108.265112523824, 9.70669943712937], [108.260320642783, 9.69042152913033], [108.254501873563, 9.67447223250759], [108.247679230712, 9.65891447012671], [108.239879796416, 9.64380953348325], [108.231134452493, 9.62921698647478], [108.221477764387, 9.61519433894761], [108.210947872346, 9.60179691809333], [108.199586432968, 9.5890774439689], [108.187438272059, 9.57708609514719], [108.17455132978, 9.56587008603572], [108.160976486176, 9.55547360122574], [108.146767192452, 9.54593760213868], [108.131979570801, 9.53729969482511], [108.116671801063, 9.5295938053099], [108.100904308687, 9.52285037654371], [108.087318417811, 9.51801410406768], [108.086934543095, 9.50561252859535], [108.08533165713, 9.48873714790109], [108.082657858473, 9.47199431288726], [108.078923797795, 9.45545007156357], [108.074144330097, 9.4391697192072], [108.068338511113, 9.42321744223124], [108.06152940306, 9.40765618688356], [108.053743883074, 9.39254723746506], [108.045012876143, 9.37795024780575], [108.035370851484, 9.36392272055718], [108.024855976322, 9.35051991096514], [108.013509714802, 9.33779469556878], [108.001376961078, 9.32579721337077], [107.988505508722, 9.3145747057581], [107.974946238678, 9.30417138520129], [107.960752543695, 9.29462827247681], [107.945980408369, 9.28598293676316], [107.930688097977, 9.27826939761469], [107.914935869795, 9.27151809348526], [107.898785737472, 9.26575555617404], [107.889337367426, 9.26303240272323], [107.888868406052, 9.26271690166374], [107.874099535265, 9.25406871150188], [107.858810318541, 9.24635223786555], [107.843061005061, 9.23959785355816], [107.826913684019, 9.23383218660616], [107.81043195547, 9.22907792600551], [107.793680709997, 9.22535375876902], [107.776725931756, 9.22267436453034], [107.759634416995, 9.22105029053852], [107.742473435001, 9.22048791748347], [107.725310569827, 9.22098945769737], [107.708213412719, 9.22255292727585], [107.691249272536, 9.22517214068182], [107.674484894263, 9.2288367781948], [107.657986384364, 9.23353241918584], [107.641818653208, 9.23924054121806], [107.626045368299, 9.24593868372335], [107.610728738441, 9.25360044440503], [107.595929033498, 9.26219564741126], [107.581704605983, 9.27169043506558], [107.568111526826, 9.28204740186617], [107.555203405513, 9.29322575546428], [107.543031114894, 9.30518144706614], [107.531642655384, 9.31786736748507], [107.521083067729, 9.33123353959621], [107.520636351087, 9.33187856844125], [107.516390764123, 9.33226426338508], [107.499420290914, 9.3348738216696], [107.482649133551, 9.33852886341634], [107.466143256406, 9.3432149994727], [107.449967682263, 9.34891377305224], [107.434186121792, 9.35560271909025], [107.418860737033, 9.36325547036371], [107.404051889583, 9.37184194365085], [107.389817935549, 9.38132824889959], [107.376215007916, 9.39167704356077], [107.363296679298, 9.40284756586253], [107.351113941255, 9.41479579668874], [107.339714834672, 9.42747468980515], [107.329144368818, 9.44083426448975], [107.319444282128, 9.45482187263138], [107.310652906407, 9.46938238578854], [107.302804967176, 9.48445846228826], [107.29593151173, 9.49999064255416], [107.290059857876, 9.5159177034393], [107.285213171251, 9.53217686057371], [107.281410815157, 9.5487040219731], [107.278667833454, 9.56543395531281], [107.276995311185, 9.58230074118632], [107.276399917722, 9.59923780548042], [107.276884248509, 9.61617831327856], [107.278446479721, 9.6330554584427], [107.28108065245, 9.64980259581318], [107.284776528814, 9.66635366299118], [107.289519697176, 9.68264324868703], [107.295291580242, 9.69860711072959], [107.302069522291, 9.71418214548964], [107.309826909684, 9.72930684203719], [107.318533278788, 9.74392148179099], [107.328154276399, 9.75796829769882]]]}"
